Team,ShortName,ActivePeriods
AFC Bournemouth,Bournemouth,1923-present
AFC Wimbledon,Wimbledon,2011-present
Aberdare Athletic,Aberdare,1921-1926
Accrington F.C.,Accrington,1888-1892
Accrington Stanley,Accrington,1921-1961; 2006-present
Aldershot,Aldershot,1932-1990
Aldershot Town,Aldershot,2008-2012
Arsenal,Arsenal,1893-present
Ashington,Ashington,1921-1928
Aston Villa,Aston Villa,1888-present
Barnet,Barnet,1991-2000; 2005-2012; 2015-2017; 2025-present
Barnsley,Barnsley,1898-present
Barrow,Barrow,1921-1971; 2020-present
Birmingham City,Birmingham,1892-present
Blackburn Rovers,Blackburn,1888-present
Blackpool,Blackpool,1896-1898; 1900-present
Bolton Wanderers,Bolton,1888-present
Bootle,Bootle,1892
Boston United,Boston,2002-2006
Bradford City,Bradford,1903-present
Bradford Park Avenue,Bradford PA,1908-1969
Brentford,Brentford,1920-present
Brighton & Hove Albion,Brighton,1920-present
Bristol City,Bristol City,1901-present
Bristol Rovers,Bristol Rvrs,1920-2013; 2015-present
Bromley,Bromley,2024-present
Burnley,Burnley,1888-present
Burton Albion,Burton,2009-present
Burton Swifts,Burton Swft,1892-1900
Burton United,Burton,1901-1906
Burton Wanderers,Burton,1894-1896
Bury,Bury,1894-2018
Cambridge United,Cambridge,1970-2004; 2014-present
Cardiff City,Cardiff,1920-present
Carlisle United,Carlisle,1928-2003; 2005-2024
Charlton Athletic,Charlton,1921-present
Chelsea,Chelsea,1905-present
Cheltenham Town,Cheltenham,1999-2014; 2016-present
Chester,Chester,1931-1999; 2004-2008
Chesterfield,Chesterfield,1899-1908; 1921-2017; 2024-present
Colchester United,Colchester,1950-1989; 1992-present
Coventry City,Coventry,1919-present
Crawley Town,Crawley,2011-present
Crewe Alexandra,Crewe,1892-1895; 1921-present
Crystal Palace,Palace,1920-present
Dagenham and Redbridge,Dag&Red,2007-2015
Darlington,Darlington,1921-1988; 1990-2009
Darwen,Darwen,1891-1898
Derby County,Derby,1888-present
Doncaster Rovers,Doncaster,1901-1902; 1904; 1923-1997; 2003-present
Durham City,Durham,1921-1927
Everton,Everton,1888-present
Exeter City,Exeter,1920-2002; 2008-present
Fleetwood Town,Fleetwood,2012-present
Forest Green Rovers,Forest Grn Rvrs,2017-2023
Fulham,Fulham,1907-present
Gainsborough Trinity,Gainsborough,1896-1911
Gateshead,Gateshead,1930-1959
Gillingham,Gillingham,1920-1937; 1950-present
Glossop North End,Glossop,1898-1914
Grimsby Town,Grimsby,1892-1909; 1911-2009; 2016-2020; 2022-present
Halifax Town,Halifax,1921-1992; 1998-2001
Harrogate Town,Harrogate,2020-present
Hartlepool United,Hartlepool,1921-2016; 2021-2022
Hereford United,Hereford,1972-1996; 2006-2011
Huddersfield Town,Huddersfield,1910-present
Hull City,Hull,1905-present
Ipswich Town,Ipswich,1938-present
Kidderminster Harriers,Kidderminster,2000-2004
Leeds City,Leeds,1905-1919
Leeds United,Leeds,1920-present
Leicester City,Leicester,1894-present
Leyton Orient,Orient,1905-2016; 2019-present
Lincoln City,Lincoln,1892-1907; 1909-1910; 1912-1919; 1921-1986; 1988-2010; 2017-present
Liverpool,Liverpool,1893-present
Loughborough,L'boro,1895-1899
Luton Town,Luton,1897-1899; 1920-2008; 2014-present
Macclesfield Town,Macclesfield,1997-2011; 2018-2019
