Team,LogoURL,PriColour,SecColour
Aberdare Athletic,https://raw.githubusercontent.com/seanelvidge/seanelvidge.github.io/refs/heads/master/assets/img/blank-crest.png,#000000,#808080
AFC Bournemouth,https://upload.wikimedia.org/wikipedia/en/e/e5/AFC_Bournemouth_%282013%29.svg,#BF0C10,#0C0D0F
AFC Wimbledon,https://upload.wikimedia.org/wikipedia/en/1/1b/AFC_Wimbledon_%282020%29_logo.svg,#0000FF,#FFFF00
Accrington F.C.,https://raw.githubusercontent.com/seanelvidge/seanelvidge.github.io/refs/heads/master/assets/img/blank-crest.png,#000000,#808080
Accrington Stanley,https://upload.wikimedia.org/wikipedia/en/b/ba/Accrington_Stanley_F.C._logo.svg,#FF0000,#FAF9F6
Aldershot,https://upload.wikimedia.org/wikipedia/en/2/25/Aldershot_FC_crest.svg,#000000,#808080
Aldershot Town,https://upload.wikimedia.org/wikipedia/en/3/30/Aldershot_Town_FC_crest.svg,#FF0000,#0000FF
Arsenal,https://upload.wikimedia.org/wikipedia/en/5/53/Arsenal_FC.svg,#EF0107,#9C824A
Ashington,https://upload.wikimedia.org/wikipedia/en/6/61/Ashington_A.F.C._logo.png,#000000,#808080
Aston Villa,https://upload.wikimedia.org/wikipedia/en/9/9a/Aston_Villa_FC_new_crest.svg,#670E36,#95BFE5
Barnet,https://upload.wikimedia.org/wikipedia/en/a/a2/Barnet_FC.svg,#FF9900,#000000
Barnsley,https://upload.wikimedia.org/wikipedia/en/c/c9/Barnsley_FC.svg,#D71921,#000000
Barrow,https://upload.wikimedia.org/wikipedia/en/2/28/Barrow_AFC_logo.svg,#223D7D,#1B1918
Birmingham City,https://upload.wikimedia.org/wikipedia/en/6/68/Birmingham_City_FC_logo.svg,#0000FF,#808080
Blackburn Rovers,https://upload.wikimedia.org/wikipedia/en/0/0f/Blackburn_Rovers.svg,#009EE0,#808080
Blackpool,https://upload.wikimedia.org/wikipedia/en/d/df/Blackpool_FC_logo.svg,#FF8C00,#808080
Bolton Wanderers,https://upload.wikimedia.org/wikipedia/en/8/82/Bolton_Wanderers_FC_logo.svg,#263C7E,#DF0024
Bootle,https://upload.wikimedia.org/wikipedia/en/6/6c/Bootle_FC_logo.png,#000000,#808080
Boston United,https://upload.wikimedia.org/wikipedia/en/5/53/Boston_United_FC_logo.svg,#000000,#808080
Bradford City,https://upload.wikimedia.org/wikipedia/en/0/04/Bradford_City_AFC_crest.svg,#990033,#FF9900
Bradford Park Avenue,https://upload.wikimedia.org/wikipedia/en/6/62/Bradford_%28Park_Avenue%29_A.F.C._logo.png,#000000,#808080
Brentford,https://upload.wikimedia.org/wikipedia/en/2/2a/Brentford_FC_crest.svg,#FF0000,#000000
Brighton & Hove Albion,https://upload.wikimedia.org/wikipedia/en/d/d0/Brighton_and_Hove_Albion_FC_crest.svg,#0054A6,#808080
Bristol City,https://upload.wikimedia.org/wikipedia/en/f/f5/Bristol_City_crest.svg,#E21A23,#808080
Bristol Rovers,https://upload.wikimedia.org/wikipedia/en/4/47/Bristol_Rovers_F.C._logo.svg,#0000FF,#808080
Bromley,https://upload.wikimedia.org/wikipedia/en/3/35/Bromley_FC_crest.svg,#CE132D,#B89765
Burnley,https://upload.wikimedia.org/wikipedia/en/6/6d/Burnley_FC_Logo.svg,#660808,#73E8F0
Burton Albion,https://upload.wikimedia.org/wikipedia/en/9/93/Burton_Albion_FC_crest.svg,#FFFF00,#000000
Burton Swifts,https://raw.githubusercontent.com/seanelvidge/seanelvidge.github.io/refs/heads/master/assets/img/blank-crest.png,#000000,#808080
Burton United,https://raw.githubusercontent.com/seanelvidge/seanelvidge.github.io/refs/heads/master/assets/img/blank-crest.png,#000000,#808080
Burton Wanderers,https://raw.githubusercontent.com/seanelvidge/seanelvidge.github.io/refs/heads/master/assets/img/blank-crest.png,#000000,#808080
Bury,https://upload.wikimedia.org/wikipedia/en/6/65/Bury_FC_crest.svg,#032AF0,#808080
Cambridge United,https://upload.wikimedia.org/wikipedia/en/8/8f/Cambridge_United_FC.svg,#F0D313,#0F0303
Cardiff City,https://upload.wikimedia.org/wikipedia/en/3/3c/Cardiff_City_crest.svg,#0070B5,#D11524
Carlisle United,https://upload.wikimedia.org/wikipedia/en/6/6c/Carlisle_United_FC_crest.svg,#1F47BF,#FF0808
Charlton Athletic,https://upload.wikimedia.org/wikipedia/en/f/f5/Charlton_Athletic_FC_crest.svg,#D6011D,#000000
Chelsea,https://upload.wikimedia.org/wikipedia/en/c/cc/Chelsea_FC.svg,#004793,#808080
Cheltenham Town,https://upload.wikimedia.org/wikipedia/en/c/c3/Cheltenham_Town_F.C._logo.svg,#FF0000,#808080
Chester,https://upload.wikimedia.org/wikipedia/en/c/cb/Chester-fc.svg,#0057A3,#FFC825
Chesterfield,https://upload.wikimedia.org/wikipedia/en/9/94/Chesterfield_FC_crest.svg,#0000FF,#808080
Colchester United,https://upload.wikimedia.org/wikipedia/en/9/9c/Colchester_United_FC_crest.svg,#438BF7,#808080
Coventry City,https://upload.wikimedia.org/wikipedia/en/7/7b/Coventry_City_FC_crest.svg,#42A7FF,#808080
Crawley Town,https://upload.wikimedia.org/wikipedia/en/1/11/Crawley_Town_FC_crest.svg,#FC0000,#808080
Crewe Alexandra,https://upload.wikimedia.org/wikipedia/en/9/9d/Crewe_Alexandra.svg,#FF0000,#808080
Crystal Palace,https://upload.wikimedia.org/wikipedia/en/a/a2/Crystal_Palace_FC_logo_%282022%29.svg,#1B458F,#C4122E
Dagenham and Redbridge,https://upload.wikimedia.org/wikipedia/en/e/e0/Dagenham_and_Redbridge_FC_crest.svg,#FF0000,#0000FF
Darlington,https://upload.wikimedia.org/wikipedia/en/a/ad/Darlington_FC_crest.svg,#000000,#808080
Darwen,https://upload.wikimedia.org/wikipedia/en/f/fe/Darwen_FC_crest.png,#EE3124,#808080
Derby County,https://upload.wikimedia.org/wikipedia/en/4/4a/Derby_County_crest.svg,#000000,#808080
Doncaster Rovers,https://upload.wikimedia.org/wikipedia/en/c/c5/Doncaster_Rovers_F.C._logo.svg,#FF0000,#808080
Durham City,https://upload.wikimedia.org/wikipedia/en/1/14/DurhamCityBadge.png,#003092,#FCDB0F
Everton,https://upload.wikimedia.org/wikipedia/en/7/7c/Everton_FC_logo.svg,#0052CC,#808080
Exeter City,https://upload.wikimedia.org/wikipedia/en/7/71/Exeter_City_FC.svg,#FF0000,#808080
Fleetwood Town,https://upload.wikimedia.org/wikipedia/en/e/ed/Fleetwood_Town_F.C._logo.svg,#FF0000,#808080
Forest Green Rovers,https://upload.wikimedia.org/wikipedia/en/8/85/Forest_Green_Rovers_crest.svg,#4CBA02,#030303
